Product,Customer Code,Customer Name,Customer Internal Rating,Legal Entity,Facility ID,Agreement,Term,Term End Date,Max Avail,Product Limit,Product Exposure,Product Avail,Cust Limit,Cust Exposure,Cust Avail,Conn Limit,Conn Exposure,Conn Avail,Facility Limit (Cust Level),Facility Exposure (Cust Level),Facility Avail (Cust Level),Agreement Limit (Cust Level),Agreement Exposure (Cust Level),Agreement Avail (Cust Level),Facility Limit (Conn Level),Facility Exposure (Conn Level),Facility Avail (Conn Level),Country,Country Rating,CSA Agreement,Netting Agreement,Measure,Product Limit Currency,Agreement Limit Currency,Customer Limit Currency,Connection Limit Currency,Facility Cust Currency,Facility Conn Currency,Connection Code
Derivative Products,RBC,Royal Bank of Canada,10,BCMC,76831,RBC_AGR_001,36,2027-12-31,200000000,200000000,80000000,120000000,400000000,150000000,250000000,500000000,180000000,320000000,200000000,80000000,120000000,400000000,150000000,250000000,200000000,80000000,120000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
FX Forward,RBC,Royal Bank of Canada,10,BCMC,76830,RBC_AGR_001,36,2027-12-31,150000000,150000000,45000000,105000000,400000000,150000000,250000000,500000000,180000000,320000000,150000000,45000000,105000000,400000000,150000000,250000000,150000000,45000000,105000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
Interest Rate Products,RBC,Royal Bank of Canada,10,BCMC,76832,RBC_AGR_001,36,2027-12-31,100000000,100000000,25000000,75000000,400000000,150000000,250000000,500000000,180000000,320000000,100000000,25000000,75000000,400000000,150000000,250000000,100000000,25000000,75000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
Equity Products,RBC,Royal Bank of Canada,10,BMO,76833,RBC_AGR_002,36,2027-12-31,50000000,50000000,10000000,40000000,100000000,20000000,80000000,500000000,180000000,320000000,50000000,10000000,40000000,100000000,20000000,80000000,50000000,10000000,40000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
FX Forward,TD,Toronto-Dominion Bank,9,BCMC,77100,TD_AGR_001,36,2027-12-31,60000000,60000000,40000000,20000000,250000000,90000000,160000000,300000000,110000000,190000000,60000000,40000000,20000000,250000000,90000000,160000000,60000000,40000000,20000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
Derivative Products,TD,Toronto-Dominion Bank,9,BCMC,77101,TD_AGR_001,36,2027-12-31,80000000,80000000,30000000,50000000,250000000,90000000,160000000,300000000,110000000,190000000,80000000,30000000,50000000,250000000,90000000,160000000,80000000,30000000,50000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
Interest Rate Products,TD,Toronto-Dominion Bank,9,BNBI,77102,TD_AGR_002,36,2027-12-31,40000000,40000000,15000000,25000000,120000000,45000000,75000000,300000000,110000000,190000000,40000000,15000000,25000000,120000000,45000000,75000000,40000000,15000000,25000000,CANADA,AAA,Y,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
Derivative Products,BMO_CP,Bank of Montreal,8,BCMC,78000,BMO_AGR_001,36,2027-12-31,120000000,120000000,55000000,65000000,300000000,110000000,190000000,400000000,140000000,260000000,120000000,55000000,65000000,300000000,110000000,190000000,120000000,55000000,65000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,BMOGRP
FX Forward,BMO_CP,Bank of Montreal,8,BCMC,78001,BMO_AGR_001,36,2027-12-31,80000000,80000000,30000000,50000000,300000000,110000000,190000000,400000000,140000000,260000000,80000000,30000000,50000000,300000000,110000000,190000000,80000000,30000000,50000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,BMOGRP
FX Forward,GS,Goldman Sachs,7,BCMC,79000,GS_AGR_001,36,2027-12-31,50000000,50000000,55000000,-5000000,200000000,115000000,85000000,250000000,135000000,115000000,50000000,55000000,-5000000,200000000,115000000,85000000,50000000,55000000,-5000000,USA,AA,Y,Y,Notional,USD,USD,USD,USD,USD,USD,GSGRP
Derivative Products,GS,Goldman Sachs,7,BCMC,79001,GS_AGR_001,36,2027-12-31,100000000,100000000,60000000,40000000,200000000,115000000,85000000,250000000,135000000,115000000,100000000,60000000,40000000,200000000,115000000,85000000,100000000,60000000,40000000,USA,AA,N,N,Notional,USD,USD,USD,USD,USD,USD,GSGRP
Interest Rate Products,GS,Goldman Sachs,7,BMO,79002,GS_AGR_002,36,2027-12-31,75000000,75000000,20000000,55000000,80000000,25000000,55000000,250000000,135000000,115000000,75000000,20000000,55000000,80000000,25000000,55000000,75000000,20000000,55000000,USA,AA,N,N,Notional,USD,USD,USD,USD,USD,USD,GSGRP
Derivative Products,JPM,JP Morgan Chase,7,BCMC,80000,JPM_AGR_001,36,2027-12-31,120000000,120000000,60000000,60000000,350000000,140000000,210000000,400000000,160000000,240000000,120000000,60000000,60000000,350000000,140000000,210000000,120000000,60000000,60000000,USA,AA,Y,Y,Notional,USD,USD,USD,USD,USD,USD,JPMGRP
FX Forward,JPM,JP Morgan Chase,7,BCMC,80001,JPM_AGR_001,36,2027-12-31,90000000,90000000,50000000,40000000,350000000,140000000,210000000,400000000,160000000,240000000,90000000,50000000,40000000,350000000,140000000,210000000,90000000,50000000,40000000,USA,AA,Y,N,Notional,USD,USD,USD,USD,USD,USD,JPMGRP
