order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount_pct,shipping_cost,payment_method,order_status,region,sales_rep
ORD001,C001,2023-01-20,Electronics,Laptop,1,899.99,5,25.00,Credit Card,Completed,North,Alice Wang
ORD002,C001,2023-02-15,Electronics,Mouse,2,49.99,0,8.00,Credit Card,Completed,North,Alice Wang
ORD003,C002,2023-02-01,Furniture,Office Chair,1,299.99,10,35.00,PayPal,Completed,South,Bob Miller
ORD004,C003,2023-02-10,Electronics,Monitor,3,349.99,15,45.00,Bank Transfer,Completed,East,Carol Jones
ORD005,C004,2023-03-05,Office Supplies,Paper Box (5000),5,49.99,0,20.00,Credit Card,Completed,West,David Chen
ORD006,C005,2023-03-15,Clothing,Business Suit,1,399.99,0,15.00,Credit Card,Completed,North,Eric Brown
ORD007,C006,2023-03-25,Electronics,Smartphone,10,699.99,20,50.00,Bank Transfer,Completed,Central,Alice Wang
ORD008,C007,2023-04-02,Food,Coffee Beans 1kg,20,24.99,5,30.00,PayPal,Completed,South,Bob Miller
ORD009,C008,2023-04-15,Electronics,Headphones,2,199.99,0,12.00,Credit Card,Cancelled,North,Carol Jones
ORD010,C009,2023-04-28,Furniture,Office Desk,2,499.99,10,60.00,Bank Transfer,Completed,East,David Chen
ORD011,C010,2023-05-10,Electronics,Tablet,5,499.99,15,35.00,Credit Card,Completed,West,Eric Brown
ORD012,C011,2023-05-22,Clothing,Dress Shirt,10,59.99,10,25.00,PayPal,Completed,South,Alice Wang
ORD013,C012,2023-06-05,Office Supplies,Whiteboard,3,89.99,0,40.00,Credit Card,Completed,Central,Bob Miller
ORD014,C013,2023-06-18,Electronics,Keyboard,5,79.99,5,15.00,Credit Card,Completed,North,Carol Jones
ORD015,C014,2023-07-01,Furniture,Conference Table,1,899.99,10,100.00,Bank Transfer,Completed,West,David Chen
ORD016,C015,2023-07-15,Electronics,Webcam,10,89.99,0,20.00,Credit Card,Completed,East,Eric Brown
ORD017,C016,2023-07-28,Food,Snack Box,50,34.99,15,45.00,PayPal,Completed,South,Alice Wang
ORD018,C017,2023-08-10,Clothing,Polo Shirt,20,39.99,10,30.00,Credit Card,Refunded,West,Bob Miller
ORD019,C018,2023-08-25,Electronics,Laptop,2,899.99,5,40.00,Bank Transfer,Completed,Central,Carol Jones
ORD020,C019,2023-09-08,Furniture,Bookshelf,4,199.99,0,80.00,Credit Card,Completed,North,David Chen
ORD021,C020,2023-09-20,Electronics,Smartphone,3,699.99,10,25.00,PayPal,Completed,North,Eric Brown
ORD022,C021,2023-10-05,Office Supplies,Pen Set,100,14.99,20,15.00,Credit Card,Completed,South,Alice Wang
ORD023,C022,2023-10-18,Electronics,Monitor,5,349.99,10,50.00,Bank Transfer,Completed,East,Bob Miller
ORD024,C023,2023-11-02,Food,Beverage Pack,30,29.99,5,35.00,Credit Card,Completed,West,Carol Jones
ORD025,C024,2023-11-15,Furniture,Filing Cabinet,10,149.99,15,90.00,Bank Transfer,Completed,Central,David Chen
ORD026,C025,2023-11-28,Clothing,Casual Jacket,5,129.99,0,20.00,PayPal,Cancelled,North,Eric Brown
ORD027,C026,2023-12-10,Electronics,Tablet,2,499.99,10,25.00,Credit Card,Completed,South,Alice Wang
ORD028,C027,2023-12-22,Office Supplies,Notebook Pack,50,19.99,5,25.00,Credit Card,Completed,East,Bob Miller
ORD029,C028,2024-01-05,Electronics,Laptop,3,899.99,15,45.00,Bank Transfer,Completed,West,Carol Jones
ORD030,C029,2024-01-18,Furniture,Office Chair,5,299.99,10,50.00,Credit Card,Completed,Central,David Chen
ORD031,C030,2024-02-01,Food,Tea Variety Pack,40,19.99,0,30.00,PayPal,Completed,North,Eric Brown
ORD032,C031,2024-02-15,Electronics,Headphones,8,199.99,5,20.00,Credit Card,Completed,South,Alice Wang
ORD033,C032,2024-03-01,Clothing,Dress Shoes,6,149.99,10,25.00,Bank Transfer,Completed,East,Bob Miller
ORD034,C033,2024-03-15,Electronics,Smartphone,15,699.99,20,60.00,Credit Card,Completed,West,Carol Jones
ORD035,C034,2024-03-28,Office Supplies,Stapler Set,30,24.99,5,20.00,PayPal,Completed,Central,David Chen
ORD036,C035,2024-04-10,Furniture,Office Desk,3,499.99,10,70.00,Bank Transfer,Completed,North,Eric Brown
ORD037,C036,2024-04-25,Electronics,Monitor,4,349.99,5,40.00,Credit Card,Completed,South,Alice Wang
