Date,Product,Customer Code,Customer Name,Customer Internal Rating,Legal Entity,Facility ID,Agreement,Term,Term End Date,Max Avail,Product Limit,Product Exposure,Product Avail,Cust Limit,Cust Exposure,Cust Avail,Conn Limit,Conn Exposure,Conn Avail,Facility Limit (Cust Level),Facility Exposure (Cust Level),Facility Avail (Cust Level),Agreement Limit (Cust Level),Agreement Exposure (Cust Level),Agreement Avail (Cust Level),Facility Limit (Conn Level),Facility Exposure (Conn Level),Facility Avail (Conn Level),Country,Country Rating,CSA Agreement,Netting Agreement,Measure,Product Limit Currency,Agreement Limit Currency,Customer Limit Currency,Connection Limit Currency,Facility Cust Currency,Facility Conn Currency,Connection Code
2026-01-27,Derivative Products,RBC,Royal Bank of Canada,10,BCMC,76831,RBC_AGR_001,36,2027-12-31,200000000,200000000,80000000,120000000,400000000,150000000,250000000,500000000,180000000,320000000,200000000,80000000,120000000,400000000,150000000,250000000,200000000,80000000,120000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-01-27,FX Forward,RBC,Royal Bank of Canada,10,BCMC,76830,RBC_AGR_001,36,2027-12-31,150000000,150000000,45000000,105000000,400000000,150000000,250000000,500000000,180000000,320000000,150000000,45000000,105000000,400000000,150000000,250000000,150000000,45000000,105000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-01-27,Interest Rate Products,RBC,Royal Bank of Canada,10,BCMC,76832,RBC_AGR_001,36,2027-12-31,100000000,100000000,25000000,75000000,400000000,150000000,250000000,500000000,180000000,320000000,100000000,25000000,75000000,400000000,150000000,250000000,100000000,25000000,75000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-01-27,Equity Products,RBC,Royal Bank of Canada,10,BMO,76833,RBC_AGR_002,36,2027-12-31,50000000,50000000,10000000,40000000,100000000,20000000,80000000,500000000,180000000,320000000,50000000,10000000,40000000,100000000,20000000,80000000,50000000,10000000,40000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-02-27,Derivative Products,RBC,Royal Bank of Canada,10,BCMC,76831,RBC_AGR_001,36,2027-12-31,200000000,200000000,80000000,120000000,400000000,150000000,250000000,500000000,180000000,320000000,200000000,80000000,120000000,400000000,150000000,250000000,200000000,80000000,120000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-02-27,FX Forward,RBC,Royal Bank of Canada,10,BCMC,76830,RBC_AGR_001,36,2027-12-31,150000000,150000000,45000000,105000000,400000000,150000000,250000000,500000000,180000000,320000000,150000000,45000000,105000000,400000000,150000000,250000000,150000000,45000000,105000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-02-27,Interest Rate Products,RBC,Royal Bank of Canada,10,BCMC,76832,RBC_AGR_001,36,2027-12-31,100000000,100000000,25000000,75000000,400000000,150000000,250000000,500000000,180000000,320000000,100000000,25000000,75000000,400000000,150000000,250000000,100000000,25000000,75000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-02-27,Equity Products,RBC,Royal Bank of Canada,10,BMO,76833,RBC_AGR_002,36,2027-12-31,50000000,50000000,10000000,40000000,100000000,20000000,80000000,500000000,180000000,320000000,50000000,10000000,40000000,100000000,20000000,80000000,50000000,10000000,40000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-25,Derivative Products,RBC,Royal Bank of Canada,10,BCMC,76831,RBC_AGR_001,36,2027-12-31,200000000,200000000,80000000,120000000,400000000,150000000,250000000,500000000,180000000,320000000,200000000,80000000,120000000,400000000,150000000,250000000,200000000,80000000,120000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-25,FX Forward,RBC,Royal Bank of Canada,10,BCMC,76830,RBC_AGR_001,36,2027-12-31,150000000,150000000,45000000,105000000,400000000,150000000,250000000,500000000,180000000,320000000,150000000,45000000,105000000,400000000,150000000,250000000,150000000,45000000,105000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-25,Interest Rate Products,RBC,Royal Bank of Canada,10,BCMC,76832,RBC_AGR_001,36,2027-12-31,100000000,100000000,25000000,75000000,400000000,150000000,250000000,500000000,180000000,320000000,100000000,25000000,75000000,400000000,150000000,250000000,100000000,25000000,75000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-25,Equity Products,RBC,Royal Bank of Canada,10,BMO,76833,RBC_AGR_002,36,2027-12-31,50000000,50000000,10000000,40000000,100000000,20000000,80000000,500000000,180000000,320000000,50000000,10000000,40000000,100000000,20000000,80000000,50000000,10000000,40000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-26,Derivative Products,RBC,Royal Bank of Canada,10,BCMC,76831,RBC_AGR_001,36,2027-12-31,200000000,200000000,80000000,120000000,400000000,150000000,250000000,500000000,180000000,320000000,200000000,80000000,120000000,400000000,150000000,250000000,200000000,80000000,120000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-26,FX Forward,RBC,Royal Bank of Canada,10,BCMC,76830,RBC_AGR_001,36,2027-12-31,150000000,150000000,45000000,105000000,400000000,150000000,250000000,500000000,180000000,320000000,150000000,45000000,105000000,400000000,150000000,250000000,150000000,45000000,105000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-26,Interest Rate Products,RBC,Royal Bank of Canada,10,BCMC,76832,RBC_AGR_001,36,2027-12-31,100000000,100000000,25000000,75000000,400000000,150000000,250000000,500000000,180000000,320000000,100000000,25000000,75000000,400000000,150000000,250000000,100000000,25000000,75000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-26,Equity Products,RBC,Royal Bank of Canada,10,BMO,76833,RBC_AGR_002,36,2027-12-31,50000000,50000000,10000000,40000000,100000000,20000000,80000000,500000000,180000000,320000000,50000000,10000000,40000000,100000000,20000000,80000000,50000000,10000000,40000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-27,Derivative Products,RBC,Royal Bank of Canada,10,BCMC,76831,RBC_AGR_001,36,2027-12-31,200000000,200000000,80000000,120000000,400000000,150000000,250000000,500000000,180000000,320000000,200000000,80000000,120000000,400000000,150000000,250000000,200000000,80000000,120000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-27,FX Forward,RBC,Royal Bank of Canada,10,BCMC,76830,RBC_AGR_001,36,2027-12-31,150000000,150000000,45000000,105000000,400000000,150000000,250000000,500000000,180000000,320000000,150000000,45000000,105000000,400000000,150000000,250000000,150000000,45000000,105000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-27,Interest Rate Products,RBC,Royal Bank of Canada,10,BCMC,76832,RBC_AGR_001,36,2027-12-31,100000000,100000000,25000000,75000000,400000000,150000000,250000000,500000000,180000000,320000000,100000000,25000000,75000000,400000000,150000000,250000000,100000000,25000000,75000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-03-27,Equity Products,RBC,Royal Bank of Canada,10,BMO,76833,RBC_AGR_002,36,2027-12-31,50000000,50000000,10000000,40000000,100000000,20000000,80000000,500000000,180000000,320000000,50000000,10000000,40000000,100000000,20000000,80000000,50000000,10000000,40000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,RBCGRP
2026-01-27,FX Forward,TD,Toronto-Dominion Bank,9,BCMC,77100,TD_AGR_001,36,2027-12-31,60000000,60000000,20000000,40000000,250000000,70000000,180000000,300000000,90000000,210000000,60000000,20000000,40000000,250000000,70000000,180000000,60000000,20000000,40000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-01-27,Derivative Products,TD,Toronto-Dominion Bank,9,BCMC,77101,TD_AGR_001,36,2027-12-31,80000000,80000000,30000000,50000000,250000000,70000000,180000000,300000000,90000000,210000000,80000000,30000000,50000000,250000000,70000000,180000000,80000000,30000000,50000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-01-27,Interest Rate Products,TD,Toronto-Dominion Bank,9,BNBI,77102,TD_AGR_002,36,2027-12-31,40000000,40000000,15000000,25000000,120000000,45000000,75000000,300000000,90000000,210000000,40000000,15000000,25000000,120000000,45000000,75000000,40000000,15000000,25000000,CANADA,AAA,Y,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-02-27,FX Forward,TD,Toronto-Dominion Bank,9,BCMC,77100,TD_AGR_001,36,2027-12-31,60000000,60000000,25000000,35000000,250000000,75000000,175000000,300000000,95000000,205000000,60000000,25000000,35000000,250000000,75000000,175000000,60000000,25000000,35000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-02-27,Derivative Products,TD,Toronto-Dominion Bank,9,BCMC,77101,TD_AGR_001,36,2027-12-31,80000000,80000000,30000000,50000000,250000000,75000000,175000000,300000000,95000000,205000000,80000000,30000000,50000000,250000000,75000000,175000000,80000000,30000000,50000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-02-27,Interest Rate Products,TD,Toronto-Dominion Bank,9,BNBI,77102,TD_AGR_002,36,2027-12-31,40000000,40000000,15000000,25000000,120000000,45000000,75000000,300000000,95000000,205000000,40000000,15000000,25000000,120000000,45000000,75000000,40000000,15000000,25000000,CANADA,AAA,Y,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-03-25,FX Forward,TD,Toronto-Dominion Bank,9,BCMC,77100,TD_AGR_001,36,2027-12-31,60000000,60000000,30000000,30000000,250000000,80000000,170000000,300000000,100000000,200000000,60000000,30000000,30000000,250000000,80000000,170000000,60000000,30000000,30000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-03-25,Derivative Products,TD,Toronto-Dominion Bank,9,BCMC,77101,TD_AGR_001,36,2027-12-31,80000000,80000000,30000000,50000000,250000000,80000000,170000000,300000000,100000000,200000000,80000000,30000000,50000000,250000000,80000000,170000000,80000000,30000000,50000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-03-25,Interest Rate Products,TD,Toronto-Dominion Bank,9,BNBI,77102,TD_AGR_002,36,2027-12-31,40000000,40000000,15000000,25000000,120000000,45000000,75000000,300000000,100000000,200000000,40000000,15000000,25000000,120000000,45000000,75000000,40000000,15000000,25000000,CANADA,AAA,Y,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-03-26,FX Forward,TD,Toronto-Dominion Bank,9,BCMC,77100,TD_AGR_001,36,2027-12-31,60000000,60000000,35000000,25000000,250000000,85000000,165000000,300000000,105000000,195000000,60000000,35000000,25000000,250000000,85000000,165000000,60000000,35000000,25000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-03-26,Derivative Products,TD,Toronto-Dominion Bank,9,BCMC,77101,TD_AGR_001,36,2027-12-31,80000000,80000000,30000000,50000000,250000000,85000000,165000000,300000000,105000000,195000000,80000000,30000000,50000000,250000000,85000000,165000000,80000000,30000000,50000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-03-26,Interest Rate Products,TD,Toronto-Dominion Bank,9,BNBI,77102,TD_AGR_002,36,2027-12-31,40000000,40000000,15000000,25000000,120000000,45000000,75000000,300000000,105000000,195000000,40000000,15000000,25000000,120000000,45000000,75000000,40000000,15000000,25000000,CANADA,AAA,Y,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-03-27,FX Forward,TD,Toronto-Dominion Bank,9,BCMC,77100,TD_AGR_001,36,2027-12-31,60000000,60000000,40000000,20000000,250000000,90000000,160000000,300000000,110000000,190000000,60000000,40000000,20000000,250000000,90000000,160000000,60000000,40000000,20000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-03-27,Derivative Products,TD,Toronto-Dominion Bank,9,BCMC,77101,TD_AGR_001,36,2027-12-31,80000000,80000000,30000000,50000000,250000000,90000000,160000000,300000000,110000000,190000000,80000000,30000000,50000000,250000000,90000000,160000000,80000000,30000000,50000000,CANADA,AAA,N,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-03-27,Interest Rate Products,TD,Toronto-Dominion Bank,9,BNBI,77102,TD_AGR_002,36,2027-12-31,40000000,40000000,15000000,25000000,120000000,45000000,75000000,300000000,110000000,190000000,40000000,15000000,25000000,120000000,45000000,75000000,40000000,15000000,25000000,CANADA,AAA,Y,N,Notional,CAD,CAD,CAD,CAD,CAD,CAD,TDGRP
2026-01-27,Derivative Products,BMO_CP,Bank of Montreal,8,BCMC,78000,BMO_AGR_001,36,2027-12-31,120000000,120000000,55000000,65000000,300000000,110000000,190000000,400000000,140000000,260000000,120000000,55000000,65000000,300000000,110000000,190000000,120000000,55000000,65000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,BMOGRP
2026-01-27,FX Forward,BMO_CP,Bank of Montreal,8,BCMC,78001,BMO_AGR_001,36,2027-12-31,80000000,80000000,30000000,50000000,300000000,110000000,190000000,400000000,140000000,260000000,80000000,30000000,50000000,300000000,110000000,190000000,80000000,30000000,50000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,BMOGRP
2026-02-27,Derivative Products,BMO_CP,Bank of Montreal,8,BCMC,78000,BMO_AGR_001,36,2027-12-31,120000000,120000000,55000000,65000000,300000000,110000000,190000000,400000000,140000000,260000000,120000000,55000000,65000000,300000000,110000000,190000000,120000000,55000000,65000000,CANADA,AAA,Y,Y,Notional,CAD,CAD,CAD,CAD,CAD,CAD,BMOGRP
